Województwo,"Rodzaj produktu rolnego, środka spożywczego lub napoju spirytusowego wpisanego na lpt","Nazwa produktu rolnego, środka spożywczego lub napoju spirytusowego wpisanego na lpt",Data wpisu na lpt
dolnośląskie,Miody,Miód wrzosowy z Borów Dolnośląskich,2005-09-28
dolnośląskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Ogórki konserwowe ścinawskie,2007-04-24
dolnośląskie,Gotowe dania i potrawy,Keselica / kysielnica / kysyłycia ,2007-05-11
dolnośląskie,Miody,Wielokwiatowy miód z Doliny Baryczy,2007-05-11
dolnośląskie,Napoje (alkoholowe i bezalkoholowe),Juha – kompot z suszonych owoców,2007-05-11
dolnośląskie,Napoje (alkoholowe i bezalkoholowe),Wino śląskie,2007-06-11
dolnośląskie,Miody,Sudecki miód gryczany,2007-08-10
dolnośląskie,Miody,Sudecki miód wielokwiatowy,2007-08-30
dolnośląskie,"Produkty rybołówstwa, w tym ryby",Karp milicki,2007-12-04
dolnośląskie,Gotowe dania i potrawy,Śląskie niebo,2008-03-07
dolnośląskie,Sery i inne produkty mleczne,Ser zgorzelecki,2008-03-07
dolnośląskie,Gotowe dania i potrawy,Czarne gołąbki krużewnickie,2008-03-28
dolnośląskie,Wyroby piekarnicze i cukiernicze,Chleb gogołowicki,2008-05-12
dolnośląskie,Wyroby piekarnicze i cukiernicze,Begle,2008-05-12
dolnośląskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Ogórki kwaszone ślężańskie,2008-07-23
dolnośląskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Kapusta kwaszona ślężańska,2008-07-23
dolnośląskie,Wyroby piekarnicze i cukiernicze,Ciasto z kruszonką z Ziemi Kłodzkiej,2008-07-23
dolnośląskie,Mięso świeże oraz produkty mięsne,Świnka pieczona po zaciszańsku,2008-08-29
dolnośląskie,Wyroby piekarnicze i cukiernicze,Chleb chłopski z Rogowa Sobóckiego,2009-09-09
dolnośląskie,Wyroby piekarnicze i cukiernicze,Chleb żytni domowy z Pomocnego,2010-02-15
dolnośląskie,Napoje (alkoholowe i bezalkoholowe),Piwo książęce z Lwówka,2010-06-25
dolnośląskie,Sery i inne produkty mleczne,Ser kozi łomnicki,2010-07-21
dolnośląskie,Sery i inne produkty mleczne,Kamiennogórski ser pleśniowy,2010-08-12
dolnośląskie,Wyroby piekarnicze i cukiernicze,Chleb pszenno-żytni na zakwasie z Pomocnego,2011-03-28
dolnośląskie,Mięso świeże oraz produkty mięsne,Słonina marynowana z Niemczy,2011-08-25
dolnośląskie,Mięso świeże oraz produkty mięsne,Mięso w kawałkach niemczańskie domowe,2011-08-25
dolnośląskie,Mięso świeże oraz produkty mięsne,Szynka wieprzowa niemczańska,2011-08-25
dolnośląskie,Mięso świeże oraz produkty mięsne,Kiełbasa niemczańska,2011-08-25
dolnośląskie,Wyroby piekarnicze i cukiernicze,Miodowe pierniczki z Przemkowa,2011-08-25
dolnośląskie,Mięso świeże oraz produkty mięsne,Kiełbasa galicjanka z Niemczy,2012-02-23
dolnośląskie,Mięso świeże oraz produkty mięsne,Przysmak wołyński z Niemczy,2012-02-23
dolnośląskie,Napoje (alkoholowe i bezalkoholowe),Tłoczony sok jabłkowy z Lutyni,2012-05-15
dolnośląskie,"Oleje i tłuszcze (masło, margaryna itp.)",Masło tradycyjne,2012-06-27
dolnośląskie,Napoje (alkoholowe i bezalkoholowe),Jabłecznik trzebnicki (cydr),2012-09-21
dolnośląskie,"Produkty rybołówstwa, w tym ryby",Pstrąg kłodzki,2012-10-05
dolnośląskie,Miody,Miód lipowy krupiec z Ziemi Ząbkowickiej,2013-02-18
dolnośląskie,Sery i inne produkty mleczne,Twaróg sudecki,2013-04-24
dolnośląskie,Napoje (alkoholowe i bezalkoholowe),Likier karkonoski,2013-05-21
dolnośląskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Syrop malinowy z Doliny Baryczy,2013-07-18
dolnośląskie,Gotowe dania i potrawy,Pierogi ruskie z Chrząstawy,2013-10-21
dolnośląskie,Wyroby piekarnicze i cukiernicze,Pszenno-żytnie pierniki z Oleśnicy,2013-12-19
dolnośląskie,Gotowe dania i potrawy,Pasztet z królika ze szpinakiem,2014-07-31
dolnośląskie,"Produkty rybołówstwa, w tym ryby",Pstrąg kłodzki wędzony,2014-07-31
dolnośląskie,Gotowe dania i potrawy,Spytkowska gęś nadziewana naleśnikami,2014-08-22
dolnośląskie,Mięso świeże oraz produkty mięsne,Kiełbasa w słoiku z Przedgórza Sudeckiego,2016-04-21
dolnośląskie,Miody,Ryczyński miód lipowy,2016-04-21
dolnośląskie,Wyroby piekarnicze i cukiernicze,Kołacz Ormian kuckich,2016-11-04
dolnośląskie,Gotowe dania i potrawy,Gandżabur- zupa chorutowa z uszkami,2017-03-17
dolnośląskie,Gotowe dania i potrawy,Bałkańska pita z Lipian ,2017-07-27
dolnośląskie,Mięso świeże oraz produkty mięsne,Salceson polski z Karkonoszy,2019-06-14
dolnośląskie,Mięso świeże oraz produkty mięsne,Szynka pieczona z Karkonoszy,2019-06-14
dolnośląskie,Mięso świeże oraz produkty mięsne,kabanosy z cielęciną z Karkonoszy,2019-06-14
kujawsko-pomorskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Powidła śliwkowe z Doliny Dolnej Wisły,2006-03-15
kujawsko-pomorskie,Napoje (alkoholowe i bezalkoholowe),Nalewka z czarnej porzeczki,2006-05-12
kujawsko-pomorskie,Napoje (alkoholowe i bezalkoholowe),Nalewka orzechowa,2006-05-12
kujawsko-pomorskie,Napoje (alkoholowe i bezalkoholowe),Nalewka z kwiatów głogu (bulimączka),2006-05-12
kujawsko-pomorskie,Napoje (alkoholowe i bezalkoholowe),Dzięgielówka,2006-05-12
kujawsko-pomorskie,Napoje (alkoholowe i bezalkoholowe),Nalewka dereniowa,2006-05-12
kujawsko-pomorskie,Mięso świeże oraz produkty mięsne,"Półgęsek, znany też jako półgąsek albo pierśnik",2006-08-22
kujawsko-pomorskie,Mięso świeże oraz produkty mięsne,Biała kiełbasa w słoiku,2007-02-12
kujawsko-pomorskie,Miody,Miody z rejonu Dolnej Wisły,2007-02-12
kujawsko-pomorskie,Sery i inne produkty mleczne,Kajmak ,2007-09-28
kujawsko-pomorskie,Napoje (alkoholowe i bezalkoholowe),Księżycówka z Kujaw,2008-02-27
kujawsko-pomorskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Sok z kapusty kwaszonej,2008-02-27
kujawsko-pomorskie,Wyroby piekarnicze i cukiernicze,Mace borowiackie,2008-02-27
kujawsko-pomorskie,Wyroby piekarnicze i cukiernicze,Chleb z makiem ze Stolna,2008-02-27
kujawsko-pomorskie,Gotowe dania i potrawy,Żur kujawski,2008-05-05
kujawsko-pomorskie,Napoje (alkoholowe i bezalkoholowe),Piwo nakielskie jasne,2008-06-19
kujawsko-pomorskie,Wyroby piekarnicze i cukiernicze,Stoleński razowiec ze słonecznikiem,2009-05-11
kujawsko-pomorskie,Napoje (alkoholowe i bezalkoholowe),Piwo nakielskie ciemne,2009-05-14
kujawsko-pomorskie,Mięso świeże oraz produkty mięsne,Świąteczna szynka kujawska z kością,2009-06-15
kujawsko-pomorskie,Wyroby piekarnicze i cukiernicze,Chleb z kminkiem ze Stolna,2009-06-24
kujawsko-pomorskie,Napoje (alkoholowe i bezalkoholowe),Wino domowe z Kujaw,2009-07-14
kujawsko-pomorskie,Gotowe dania i potrawy,Czarnina kujawska,2010-01-18
kujawsko-pomorskie,Inne produkty,Mniszek bronisławski,2010-01-18
kujawsko-pomorskie,Napoje (alkoholowe i bezalkoholowe),Podpiwek kujawski,2011-04-14
kujawsko-pomorskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Gruszki szaruszki w syropie,2011-07-22
kujawsko-pomorskie,Gotowe dania i potrawy,Zupa kwas,2011-07-28
kujawsko-pomorskie,Inne produkty,Ciechocińska sól,2011-11-03
kujawsko-pomorskie,Wyroby piekarnicze i cukiernicze,Mazurek orzechowy,2011-11-03
kujawsko-pomorskie,Wyroby piekarnicze i cukiernicze,Kujawiok – wielkanocna baba drożdżowa,2011-11-03
kujawsko-pomorskie,Wyroby piekarnicze i cukiernicze,Amoniaczki,2011-11-24
kujawsko-pomorskie,Wyroby piekarnicze i cukiernicze,Placki na sodzie,2011-11-24
kujawsko-pomorskie,Gotowe dania i potrawy,Marchew krychano,2012-02-06
kujawsko-pomorskie,Gotowe dania i potrawy,Grzybowniczki,2012-02-23
kujawsko-pomorskie,Napoje (alkoholowe i bezalkoholowe),Kawa zbożowa z jęczmienia,2012-03-06
kujawsko-pomorskie,Wyroby piekarnicze i cukiernicze,Paczki ziemniaczano-dyniowe,2012-04-16
kujawsko-pomorskie,Gotowe dania i potrawy,Kaczka nadziewana po Kujawsku,2012-07-27
kujawsko-pomorskie,"Orzechy, nasiona, zboża, warzywa i owoce (przetworzone i nie)",Fjut/cyrop,2012-07-27
kujawsko-pomorskie,Gotowe dania i potrawy,Groch z kapustą,2012-09-28
kujawsko-pomorskie,Gotowe dania i potrawy,Wigilijna zupa z suszonych śliwek,2012-11-20
kujawsko-pomorskie,Gotowe dania i potrawy,Kluski z makiem,2012-12-14
kujawsko-pomorskie,Inne produkty,Kulis-kwas z buraczków,2013-01-31
kujawsko-pomorskie,Wyroby piekarnicze i cukiernicze,Chleb żytni z ziemniakami,2013-03-22
